# airline	from	to	codeshare	stops	equipment
# Date: 2012-10-14
3P	BON	CUR		0	SH6
3P	CUR	AUA		0	SH6
3P	CUR	BON		0	SH6
3P	LSP	AUA		0	SH6
3P	MAR	AUA		0	SH6
3P	RCH	AUA		0	SH6
3S	BGI	PTP		0	AT5
3S	FDF	PTP		0	AT5
3S	FDF	SLU		0	AT5
3S	PTP	FDF		0	AT5
3S	PTP	SBH		0	DHT
3S	PTP	SDQ		0	AT5
3S	PTP	SFG		0	AT5
3S	SBH	PTP		0	DHT
3S	SBH	SFG		0	DHT
3S	SDQ	PTP		0	AT5
3S	SFG	PTP		0	AT5
3S	SFG	SBH		0	DHT
3S	SLU	FDF		0	AT5
3U	CAN	CKG		0	321 320
3U	CAN	CTU		0	321 320 330
3U	CAN	SPN		0	330
3U	CGK	NNG		0	320
3U	CGO	CGQ		0	319
3U	CGO	CKG		0	320 321
3U	CGO	CTU		0	319
3U	CGO	HET		0	320
3U	CGO	HGH		0	320
3U	CGO	HRB		0	320
3U	CGO	KMG		0	320
3U	CGO	URC		0	320
3U	CGQ	CGO		0	319
3U	CGQ	TNA		0	320
3U	CGQ	TSN		0	320 321
3U	CIF	HET		0	319
3U	CKG	CAN		0	321 320
3U	CKG	CGO		0	320 321
3U	CKG	CSX		0	319
3U	CKG	CZX		0	320
3U	CKG	DLC		0	320
3U	CKG	HGH		0	320
3U	CKG	HKT		0	320
3U	CKG	INC		0	321
3U	CKG	JZH		0	319
3U	CKG	KGT		0	319
3U	CKG	KHN		0	319
3U	CKG	KMG		0	320
3U	CKG	KWL		0	321
3U	CKG	LJG		0	319
3U	CKG	LXA		0	319
3U	CKG	NGB		0	320
3U	CKG	NKG		0	320 319
3U	CKG	PEK		0	320 319
3U	CKG	PVG		0	321 319
3U	CKG	SJW		0	320
3U	CKG	SYX		0	320
3U	CKG	SZX		0	321
3U	CKG	TNA		0	320 319
3U	CKG	TSA		0	320
3U	CKG	TSN		0	320
3U	CKG	TYN		0	320
3U	CKG	URC		0	320
3U	CKG	WNZ		0	319
3U	CKG	WUH		0	320
